Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AW, 11/22/33/42/52, 191, 172, 153, 130, 107, 85
AX, 11/21/31/41/51, 197, 179, 161, 139, 117, 95
AY, 12/22/33/42/52, 192, 172, 152, 129, 107, 85
AZ, 13/23/35/43/53, 205, 189, 173, 152, 132, 112
BX1, 41/51/84, 205, 187, 169, 146, 124, 102
BX2, 41/51/87, 203, 186, 169, 147, 125, 103
BY1, 42/52/85, 192, 172, 152, 129, 106, 84
BY2, 42/52/88, 189, 169, 149, 126, 104, 82
BZ1, 43/53/86, 202, 183, 164, 143, 122, 102
CP1, 43/53/94, 196, 176, 156, 137, 118, 100
CQ1, 41/51/95, 197, 178, 159, 138, 118, 98
CQ2, 41/51/98, 198, 178, 158, 137, 117, 97
CR1, 42/52/96, 194, 174, 154, 131, 109, 87
CR2, 42/52/99, 196, 176, 156, 134, 112, 90
CX1, 41/51/94, 191, 172, 153, 134, 115, 96
CY1, 42/52/95, 192, 172, 152, 130, 108, 87
CY2, 42/52/98, 193, 172, 151, 129, 107, 86
HW, 11/22/34/42/52, 189, 170, 151, 128, 105, 83
HX, 11/21/32/41/51, 199, 181, 163, 141, 119, 97
HY, 12/22/34/42/52, 190, 170, 150, 127, 105, 83
S1, 11/21/31, –, 92, 83, 71, 59, 48
S2, 11/21/32, –, 94, 85, 73, 61, 50
S3, 12/22/33, –, 91, 81, 70, 59, 49
S4, 12/22/34, –, 89, 79, 68, 57, 47
S5, 13/23/35, –, 98, 92, 81, 71, 61
S7, 11/22/33, –, 91, 82, 71, 60, 49
S8, 11/22/34, –, 89, 80, 69, 58, 47
