Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 202, 183, 164, 140, 117, 94
AY, 12/22/33/42/52, 184, 168, 152, 129, 107, 85
AZ, 13/23/35/43/53, 196, 179, 162, 142, 123, 104
BX1, 41/51/84, 202, 184, 166, 144, 122, 100
BX2, 41/51/87, 202, 184, 166, 144, 122, 100
BY1, 42/52/85, 180, 165, 150, 128, 106, 85
BY2, 42/52/88, 179, 163, 147, 126, 105, 84
BZ1, 43/53/86, 189, 172, 155, 134, 114, 94
CP1, 43/53/94, 192, 174, 156, 135, 115, 95
CQ1, 41/51/95, 199, 180, 161, 140, 119, 99
CQ2, 41/51/98, 197, 178, 159, 139, 119, 100
CR1, 42/52/96, 183, 164, 145, 125, 105, 85
CR2, 42/52/99, 183, 164, 145, 125, 105, 85
CX1, 41/51/94, 192, 174, 156, 135, 115, 95
CY1, 42/52/95, 184, 167, 150, 129, 108, 88
CY2, 42/52/98, 182, 165, 148, 128, 108, 89
HX, 11/21/32/41/51, 202, 184, 166, 142, 119, 96
HY, 12/22/34/42/52, 184, 168, 152, 130, 108, 86
S1, 11/21/31, –, 97, 87, 74, 61, 49
S2, 11/21/32, –, 98, 89, 76, 63, 51
S3, 12/22/33, –, 95, 86, 74, 62, 51
S4, 12/22/34, –, 95, 86, 74, 63, 52
S5, 13/23/35, –, 93, 85, 76, 67, 59
