Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 260, 12, 22, 33, 42, 52, 190, 167, 144, 122, 100, 79
BT1, 260, 42, 52, 84, 197, 174, 151, 127, 104, 81
BT2, 260, 42, 52, 87, 195, 172, 149, 125, 101, 78
BY1, 260, 42, 52, 85, 180, 158, 136, 114, 93, 72
BY2, 260, 42, 52, 88, 182, 160, 138, 116, 94, 73
CY1, 260, 42, 52, 95, 193, 167, 141, 119, 97, 76
CY2, 260, 42, 52, 98, 192, 166, 140, 118, 96, 74
EV, 260, 42, 52, 75, 182, 160, 138, 116, 94, 72
EVM, 130, 42, 52, 92, 78, 64, 52, 40, 28
S3, 130, 12, 22, 33, –, 87, 75, 64, 53, 42
