Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY (AY1), 12/22/33/42/52, 187, 164, 141, 118, 95, 72
AY (AY2), 12/22/33, –, 80, 69, 57, 46, 35
BY (BY1), 42/52/85, 195, 172, 149, 125, 102, 79
BY (BY2), 42/52/88, 193, 170, 147, 124, 101, 78
BY (BYJ), 42/52, 98, 82, 66, 53, 40, 28
CY (CY1), 42/52/95, 194, 170, 146, 122, 99, 76
CY (CY2), 42/52/98, 191, 167, 143, 120, 97, 74
CY (CYN), 42/52, 98, 82, 66, 53, 40, 28
DV (DV1), 12/22/33/42/52, 187, 164, 141, 118, 95, 72
DV (DV2), 42/52/75, 194, 171, 148, 126, 104, 82
DV (DV3), 42/52/85, 195, 172, 149, 125, 102, 79
DV (DV4), 42/52/88, 193, 170, 147, 124, 101, 78
DV (DV5), 42/52/95, 194, 170, 146, 122, 99, 76
DV (DV6), 42/52/98, 191, 167, 143, 120, 97, 74
DV (DV7), 12/22/33, –, 80, 69, 57, 46, 35
DV (DVJ), 42/52, 98, 82, 66, 53, 40, 28
DV (DVN), 42/52, 98, 82, 66, 53, 40, 28
EV, 42/52/75, 194, 171, 148, 126, 104, 82
S3, 12/22/33, –, 80, 69, 57, 46, 35
