Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY (AY1), 12/22/33/42/52, 202, 184, 166, 145, 124, 104
AY (AY2), 12/22/33, –, 95, 88, 77, 67, 57
BY (BY1), 42/52/85, 204, 184, 164, 142, 120, 98
BY (BY2), 42/52/88, 204, 184, 164, 142, 120, 99
CY (CY1), 42/52/95, 203, 182, 161, 140, 119, 98
CY (CY2), 42/52/98, 203, 182, 161, 140, 119, 98
DV (DV1), 12/22/33/42/52, 202, 184, 166, 145, 124, 104
DV (DV2), 42/52/75, 201, 182, 163, 143, 123, 104
DV (DV3), 42/52/85, 204, 184, 164, 142, 120, 98
DV (DV4), 42/52/88, 204, 184, 164, 142, 120, 99
DV (DV5), 42/52/95, 203, 182, 161, 140, 119, 98
DV (DV6), 42/52/98, 203, 182, 161, 140, 119, 98
DV (DV7), 12/22/33, –, 95, 88, 77, 67, 57
EV, 42/52/75, 201, 182, 163, 143, 123, 104
S3, 12/22/33, –, 95, 88, 77, 67, 57
