Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 196, 174, 152, 131, 110, 89
AY, 12/22/33/42/52, 200, 177, 154, 132, 111, 90
AZ, 13/23/35/43/53, 197, 178, 159, 139, 119, 100
BS1, 41/51/86, 196, 178, 160, 138, 117, 96
BT1, 42/52/84, 193, 172, 151, 128, 105, 83
BT2, 42/52/87, 195, 174, 153, 130, 107, 85
BU1, 43/53/85, 198, 178, 158, 137, 117, 97
BU2, 43/53/88, 196, 176, 156, 135, 115, 95
BX1, 41/51/84, 193, 172, 151, 128, 105, 83
BX2, 41/51/87, 195, 174, 153, 130, 107, 85
BY1, 42/52/85, 193, 171, 149, 127, 105, 84
BY2, 42/52/88, 191, 169, 147, 125, 103, 82
BZ1, 43/53/86, 201, 185, 169, 149, 129, 109
CY1, 42/52/95, 193, 171, 149, 128, 107, 86
CY2, 42/52/98, 194, 171, 148, 127, 106, 85
CZ1, 43/53/96, 200, 180, 160, 139, 119, 99
CZ2, 43/53/99, 202, 182, 162, 142, 122, 102
EV, 42/52/75, 196, 176, 156, 134, 112, 90
HY, 12/22/34/42/52, 199, 176, 153, 132, 111, 91
HZ, 13/23/36/43/53, 197, 178, 159, 139, 119, 99
WB1, 43/53/82, 197, 178, 159, 138, 117, 97
WB2, 43/53/83, 195, 176, 157, 136, 115, 95
S1, 11/21/31, –, 94, 84, 74, 64, 54
S3, 12/22/33, –, 97, 86, 75, 65, 55
S4, 12/22/34, –, 96, 85, 75, 65, 56
S5, 13/23/35, –, 91, 82, 72, 62, 52
S6, 13/23/36, –, 91, 82, 71, 61, 51
