Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 180, 155, 130, 105, 80, 55
AY, 12/22/33/42/52, 188, 162, 136, 110, 84, 59
BXJ, 41/51, 81, 68, 55, 43, 31, 19
BYJ, 42/52, 94, 79, 64, 48, 32, 16
BZJ, 43/53, 81, 68, 55, 43, 31, 19
CQ1, 41/51/95, 166, 143, 120, 100, 80, 60
CQ2, 41/51/98, 166, 143, 120, 100, 80, 60
CR1, 42/52/96, 182, 157, 132, 109, 86, 63
CR2, 42/52/99, 182, 157, 132, 109, 86, 63
CX1, 41/51/94, 168, 145, 122, 102, 82, 63
CY1, 42/52/95, 180, 155, 130, 106, 83, 60
CY2, 42/52/98, 180, 155, 130, 106, 83, 60
HX, 11/21/32/41/51, 180, 155, 130, 105, 80, 55
HY, 12/22/34/42/52, 188, 162, 136, 110, 84, 59
S1, 11/21/31, –, 85, 70, 54, 39, 24
S2, 11/21/32, –, 85, 70, 54, 39, 24
S3, 12/22/33, –, 80, 66, 53, 40, 28
S4, 12/22/34, –, 80, 66, 53, 40, 28
S5, 13/23/35, –, 79, 65, 52, 39, 27
