Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 183, 157, 131, 105, 79, 54
AY, 12/22/33/42/52, 181, 156, 131, 105, 79, 54
AZ, 13/23/35/43/53, 187, 160, 133, 106, 80, 54
BT1, 42/52/84, 183, 160, 137, 112, 87, 62
BT2, 42/52/87, 182, 159, 136, 111, 86, 62
BTJ, 42/52, 82, 69, 56, 41, 27, 13
BU1, 43/53/85, 192, 165, 138, 111, 84, 57
BU2, 43/53/88, 187, 161, 135, 107, 80, 53
BUJ, 43/53, 84, 69, 54, 40, 26, 13
BY1, 42/52/85, 191, 165, 139, 112, 85, 58
BY2, 42/52/88, 186, 161, 136, 108, 81, 54
BYJ, 42/52, 82, 69, 56, 41, 27, 13
BZ1, 43/53/86, 196, 168, 140, 113, 86, 60
CY1, 42/52/95, 179, 156, 133, 109, 85, 62
CY2, 42/52/98, 178, 155, 132, 108, 84, 61
CZ1, 43/53/96, 192, 165, 138, 112, 86, 60
CZ2, 43/53/99, 189, 162, 135, 108, 82, 56
EV, 42/52/75, 184, 161, 138, 113, 88, 63
HY, 12/22/34/42/52, 179, 154, 129, 103, 77, 52
HZ, 13/23/36/43/53, 184, 158, 132, 105, 78, 52
S1, 11/21/31, –, 84, 71, 59, 47, 35
S3, 12/22/33, –, 83, 70, 58, 46, 34
S4, 12/22/34, –, 81, 68, 56, 44, 32
S5, 13/23/35, –, 87, 73, 60, 47, 35
S6, 13/23/36, –, 85, 72, 59, 46, 33
