Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY (AY1), 12/22/33/42/52, 191, 167, 143, 115, 88, 61
AY (AY2), 12/22/33, –, 90, 77, 63, 49, 36
BY (BY1), 42/52/85, 194, 169, 144, 117, 90, 63
BY (BY2), 42/52/88, 189, 165, 141, 113, 86, 59
BY (BYJ), 42/52, 85, 73, 61, 45, 29, 13
CY (CY1), 42/52/95, 184, 160, 136, 110, 84, 59
CY (CY2), 42/52/98, 182, 158, 134, 108, 82, 57
CY (CYN), 42/52, 85, 73, 61, 45, 29, 13
DV (DV1), 12/22/33/42/52, 191, 167, 143, 115, 88, 61
DV (DV2), 42/52/75, 187, 165, 143, 118, 93, 68
DV (DV3), 42/52/85, 194, 169, 144, 117, 90, 63
DV (DV4), 42/52/88, 189, 165, 141, 113, 86, 59
DV (DV5), 42/52/95, 184, 160, 136, 110, 84, 59
DV (DV6), 42/52/98, 182, 158, 134, 108, 82, 57
DV (DV7), 12/22/33, –, 90, 77, 63, 49, 36
DV (DVJ), 42/52, 85, 73, 61, 45, 29, 13
DV (DVN), 42/52, 85, 73, 61, 45, 29, 13
EV, 42/52/75, 187, 165, 143, 118, 93, 68
S3, 12/22/33, –, 90, 77, 63, 49, 36
