Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 260, 11, 21, 31, 41,
51, 187, 163, 139, 112, 86, 60
AY, 260, 12, 22, 33, 42,
52, 189, 164, 139, 113, 87, 62
AZ, 260, 13, 23, 35, 43,
53, 188, 164, 140, 115, 91, 67
BS1, 260, 41, 51, 86, 194, 167, 140, 113, 86, 60
BT1, 260, 42, 52, 84, 197, 171, 145, 118, 92, 66
BT2, 260, 42, 52, 87, 197, 171, 145, 118, 92, 66
BU1, 260, 43, 53, 85, 193, 167, 141, 113, 85, 58
BU2, 260, 43, 53, 88, 193, 167, 141, 113, 86, 59
BX1, 260, 41, 51, 84, 194, 168, 142, 115, 89, 63
BY1, 260, 42, 52, 85, 196, 170, 144, 116, 88, 61
BY2, 260, 42, 52, 88, 196, 170, 144, 116, 89, 62
BYJ, 130, 42, 52, 91, 78, 65, 49, 33, 17
BZ1, 260, 43, 53, 86, 194, 167, 140, 113, 86, 60
CY1, 260, 42, 52, 95, 190, 165, 140, 114, 88, 63
CY2, 260, 42, 52, 98, 188, 163, 138, 112, 86, 61
CYN, 130, 42, 52, 91, 78, 65, 49, 33, 17
CZ1, 260, 43, 53, 96, 192, 166, 140, 113, 87, 61
CZ2, 260, 43, 53, 99, 189, 164, 139, 112, 85, 59
CZN, 130, 43, 53, 88, 75, 62, 46, 30, 14
EV, 260, 42, 52, 75, 197, 172, 147, 119, 92, 65
HY, 260, 12, 22, 34, 42,
52, 190, 166, 142, 116, 90, 64
HZ, 260, 13, 23, 36, 43,
53, 186, 162, 138, 114, 90, 66
P1, 75, 50, –, 55, 47, 38, 29, 20
S1, 130, 11, 21, 31, –, 84, 72, 59, 46, 34
S3, 130, 12, 22, 33, –, 82, 69, 57, 45, 33
S4, 130, 12, 22, 34, –, 84, 72, 59, 47, 35
S5, 130, 13, 23, 35, –, 85, 73, 62, 51, 41
S6, 130, 13, 23, 36, –, 83, 71, 60, 50, 40
