Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 12/32/42/52, 218, 188, 158, 125, 93, 61
CY, 12/32/52/62, 213, 184, 155, 123, 91, 60
DYJ, 32/52, 108, 92, 69, 50, 31, 13
EY, 32/42/88, 218, 188, 158, 125, 93, 61
EYJ, 32/42, 110, 96, 72, 52, 32, 13
GY, 32/62/88, 213, 184, 155, 123, 91, 60
GYJ, 32/62, 108, 92, 70, 51, 32, 13
HY, 32/52/95, 203, 172, 141, 109, 77, 45
IY, 32/42/98, 217, 185, 153, 118, 83, 48
KY, 32/62/98, 212, 181, 150, 115, 81, 47
OV, 32/52/75, 218, 187, 156, 122, 89, 56
PV, 32/42/78, 221, 193, 162, 128, 94, 60
RV, 32/62/78, 219, 189, 159, 125, 92, 59
S4, 12/22, –, 92, 79, 62, 46, 30
S5, 12/42, –, 95, 80, 63, 46, 29
S6, 12/52, –, 91, 76, 59, 42, 26
