Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 224, 200, 176, 145, 114, 84
AY, 12/32/42/62, 226, 198, 170, 140, 110, 81
AZ, 13/33/43/63, 227, 200, 173, 143, 113, 84
BX, 11/31/41/51, 218, 191, 164, 134, 105, 76
BY, 12/32/42/52, 220, 190, 160, 131, 102, 73
BZ, 13/33/43/53, 224, 194, 164, 135, 106, 77
CX, 11/31/61/71, 221, 199, 177, 146, 115, 84
CY, 12/32/62/72, 230, 203, 176, 145, 114, 84
CZ, 13/33/63/73, 229, 203, 177, 148, 119, 91
DX, 31/61/84, 227, 203, 179, 148, 117, 87
DY, 32/62/85, 228, 201, 174, 144, 114, 85
DZ, 33/63/86, 227, 202, 177, 147, 118, 89
EX, 31/41/87, 225, 200, 175, 144, 113, 82
EY, 32/42/88, 224, 196, 168, 138, 108, 79
EZ, 33/43/89, 227, 201, 175, 145, 115, 86
FX, 31/51/84, 221, 194, 167, 137, 108, 79
FY, 32/52/85, 222, 193, 164, 135, 106, 77
FZ, 33/53/86, 224, 196, 168, 139, 110, 82
GX, 31/71/87, 222, 199, 176, 144, 113, 82
GY, 32/72/88, 228, 201, 174, 143, 112, 82
GZ, 33/73/89, 229, 204, 179, 150, 121, 93
HX, 31/61/94, 217, 194, 171, 140, 110, 80
HY, 32/62/95, 212, 188, 164, 133, 103, 73
HZ, 33/63/96, 216, 192, 168, 139, 110, 82
IX, 31/41/97, 217, 192, 167, 138, 109, 81
IY, 32/42/98, 216, 190, 164, 132, 100, 69
IZ, 33/43/99, 218, 191, 164, 136, 108, 80
JX, 31/51/94, 211, 185, 159, 130, 101, 72
JY, 32/52/95, 206, 180, 154, 124, 94, 65
JZ, 33/53/96, 213, 186, 159, 131, 103, 75
KX, 31/71/97, 214, 191, 168, 139, 110, 81
KY, 32/72/98, 220, 195, 170, 137, 104, 72
KZ, 33/73/99, 220, 194, 168, 141, 114, 87
S1, 11/21, –, 99, 86, 70, 54, 38
S2, 11/41, –, 102, 87, 71, 56, 41
S3, 11/61, –, 102, 90, 73, 57, 41
S4, 12/22, –, 104, 90, 73, 56, 39
S5, 12/42, –, 102, 86, 70, 54, 39
S6, 12/62, –, 105, 91, 74, 58, 42
S7, 13/23, –, 102, 86, 69, 53, 37
S8, 13/43, –, 103, 86, 71, 56, 41
S9, 13/63, –, 101, 86, 70, 54, 39
