Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 228, 207, 179, 148, 117, 86
AY, 12/32/42/62, 226, 205, 184, 150, 116, 83
AZ, 13/33/43/63, 228, 207, 183, 153, 123, 93
BX, 11/31/41/51, 225, 201, 173, 143, 113, 83
BY, 12/32/42/52, 223, 199, 175, 141, 107, 74
BZ, 13/33/43/53, 225, 201, 175, 145, 116, 87
CY, 12/32/62/72, 228, 208, 188, 154, 120, 86
CZ, 13/33/63/73, 229, 209, 186, 156, 126, 97
DX, 31/61/84, 229, 208, 182, 150, 119, 88
DY, 32/62/85, 228, 207, 182, 150, 118, 87
DZ, 33/63/86, 228, 206, 180, 151, 122, 93
EX, 31/41/87, 227, 204, 180, 150, 120, 90
EY, 32/42/88, 225, 200, 173, 141, 109, 77
EZ, 33/43/89, 228, 207, 182, 152, 122, 93
FX, 31/51/84, 226, 202, 176, 145, 115, 85
FY, 32/52/85, 225, 201, 173, 141, 109, 78
FZ, 33/53/86, 225, 200, 172, 143, 115, 87
GY, 32/72/88, 226, 203, 177, 144, 112, 80
GZ, 33/73/89, 229, 209, 185, 155, 126, 97
HX, 31/61/94, 229, 208, 181, 149, 117, 85
HY, 32/62/95, 222, 199, 176, 142, 109, 76
HZ, 33/63/96, 228, 206, 182, 152, 122, 92
IY, 32/42/98, 222, 199, 176, 142, 109, 76
IZ, 33/43/99, 228, 207, 183, 152, 121, 90
JX, 31/51/94, 226, 202, 175, 144, 113, 82
JY, 32/52/95, 219, 193, 167, 133, 100, 67
JZ, 33/53/96, 225, 200, 174, 144, 115, 86
KY, 32/72/98, 224, 202, 180, 146, 112, 79
KZ, 33/73/99, 229, 209, 186, 155, 124, 94
OV, 32/62/75, 231, 212, 189, 158, 127, 96
PV, 32/42/78, 229, 209, 187, 158, 130, 102
QV, 32/52/75, 228, 206, 180, 149, 118, 87
RV, 32/72/78, 231, 212, 191, 162, 133, 105
S1, 11/21, –, 101, 87, 70, 53, 37
S2, 11/41, –, 101, 86, 70, 54, 39
S3, 11/61, –, 105, 90, 73, 57, 41
S4, 12/22, –, 107, 98, 78, 58, 38
S5, 12/42, –, 103, 93, 75, 57, 39
S6, 12/62, –, 108, 99, 80, 61, 43
S7, 13/23, –, 103, 91, 74, 58, 42
S8, 13/43, –, 105, 93, 77, 62, 47
S9, 13/63, –, 107, 96, 80, 64, 49
