Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY (AY1), 12/32/42/62, 233, 204, 175, 145, 116, 87
BY (BY1), 12/32/42/52, 230, 200, 170, 141, 112, 84
CY (CY1), 12/32/62/72, 231, 203, 175, 145, 116, 87
DY, 32/62/85, 231, 202, 173, 143, 113, 84
EY, 32/42/88, 231, 203, 175, 144, 114, 84
FY, 32/52/85, 228, 198, 168, 139, 110, 81
GY, 32/72/88, 229, 202, 175, 144, 114, 84
HY, 32/62/95, 215, 189, 163, 132, 102, 72
IY, 32/42/98, 223, 197, 171, 138, 106, 74
JY, 32/52/95, 212, 185, 158, 128, 98, 69
KY, 32/72/98, 221, 196, 171, 138, 106, 74
OV, 32/62/75, 226, 196, 166, 135, 105, 75
PV, 32/42/78, 230, 200, 170, 139, 108, 78
QV, 32/52/75, 223, 192, 161, 131, 101, 72
RV, 32/72/78, 228, 199, 170, 139, 108, 78
S4, 12/22, –, 104, 92, 76, 60, 45
S5, 12/42, –, 107, 92, 76, 61, 46
S6, 12/62, –, 104, 89, 73, 58, 43
