Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AZ, 13/33/43/53, 224, 199, 171, 139, 108, 77
CX, 11/31/51/61, 223, 196, 166, 133, 101, 69
CY, 12/32/52/62, 209, 179, 149, 117, 85, 54
CZ, 13/33/53/63, 225, 201, 172, 140, 108, 77
DX, 31/51/84, 227, 204, 176, 144, 112, 80
DXJ, 31/51, 113, 101, 77, 56, 35, 15
DY, 32/52/85, 222, 194, 165, 134, 104, 74
DYJ, 32/52, 106, 88, 65, 47, 30, 13
DZ, 33/53/86, 228, 207, 179, 148, 118, 88
DZJ, 33/53, 113, 102, 79, 58, 37, 17
EY, 32/42/88, 219, 190, 161, 130, 99, 69
EYJ, 32/42, 105, 86, 64, 47, 30, 13
EZ, 33/43/89, 229, 209, 183, 152, 121, 91
EZJ, 33/43, 113, 101, 79, 59, 39, 19
GX, 31/61/87, 228, 206, 180, 149, 118, 87
GY, 32/62/88, 219, 190, 161, 130, 99, 69
GYJ, 32/62, 105, 86, 64, 47, 30, 13
GZ, 33/63/89, 230, 211, 184, 153, 122, 91
GZJ, 33/63, 114, 103, 79, 58, 38, 18
HX, 31/51/94, 226, 203, 173, 141, 109, 78
HY, 32/52/95, 217, 192, 167, 134, 102, 70
HZ, 33/53/96, 229, 208, 182, 150, 119, 88
IX, 31/41/97, 228, 206, 177, 146, 115, 84
IY, 32/42/98, 218, 195, 172, 139, 107, 75
IZ, 33/43/99, 229, 209, 184, 153, 122, 91
KX, 31/61/97, 229, 209, 179, 147, 115, 83
KY, 32/62/98, 218, 195, 172, 139, 107, 75
KZ, 33/63/99, 230, 211, 185, 153, 122, 91
LV, 12/32/42/52, 209, 179, 149, 117, 85, 54
LY, 12/32/42/52, 209, 179, 149, 117, 85, 54
LZ, 13/33/43/53, 224, 199, 171, 139, 108, 77
NV, 12/32/52/62, 209, 179, 149, 117, 85, 54
NY, 12/32/52/62, 209, 179, 149, 117, 85, 54
NZ, 13/33/53/63, 225, 201, 172, 140, 108, 77
OV, 32/52/75, 220, 192, 164, 134, 104, 75
PV, 32/42/78, 215, 190, 165, 135, 106, 77
RV, 32/62/78, 215, 190, 165, 135, 106, 77
S1, 11/21, –, 90, 75, 58, 41, 25
S2, 11/41, –, 91, 77, 61, 46, 31
S3, 11/51, –, 92, 77, 60, 43, 27
S4, 12/22, –, 94, 78, 60, 42, 24
S5, 12/42, –, 90, 75, 57, 40, 23
S6, 12/52, –, 92, 76, 58, 40, 22
S7, 13/23, –, 94, 79, 63, 47, 31
S8, 13/43, –, 96, 82, 66, 51, 36
S9, 13/53, –, 97, 83, 67, 51, 35
