Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 228, 200, 172, 142, 112, 83
AY, 12/32/42/62, 220, 196, 172, 139, 106, 73
AZ, 13/33/43/63, 231, 206, 181, 150, 119, 88
BX, 11/31/41/51, 224, 199, 174, 143, 112, 82
BY, 12/32/42/52, 217, 191, 165, 132, 99, 66
BZ, 13/33/43/53, 223, 200, 177, 146, 115, 84
CX, 11/31/61/71, 229, 202, 175, 144, 113, 83
CY, 12/32/62/72, 225, 202, 179, 145, 112, 79
CZ, 13/33/63/73, 232, 208, 184, 152, 120, 88
DY, 32/62/85, 226, 199, 172, 141, 110, 79
DZ, 33/63/86, 237, 208, 179, 148, 117, 87
EX, 31/41/87, 227, 203, 179, 147, 115, 84
EY, 32/42/88, 227, 201, 175, 143, 111, 80
EZ, 33/43/89, 229, 202, 175, 144, 113, 82
FX, 31/51/84, 226, 201, 176, 145, 114, 83
FY, 32/52/85, 223, 194, 165, 134, 103, 72
FZ, 33/53/86, 229, 202, 175, 144, 113, 83
GY, 32/72/88, 232, 207, 182, 150, 118, 86
GZ, 33/73/89, 230, 204, 178, 146, 114, 82
HY, 32/62/95, 212, 189, 166, 134, 102, 71
HZ, 33/63/96, 226, 200, 174, 144, 114, 85
IY, 32/42/98, 217, 193, 169, 135, 101, 68
IZ, 33/43/99, 220, 193, 166, 136, 107, 78
JY, 32/52/95, 209, 184, 159, 127, 95, 64
JZ, 33/53/96, 218, 194, 170, 140, 110, 81
KY, 32/72/98, 222, 199, 176, 142, 108, 74
KZ, 33/73/99, 221, 195, 169, 138, 108, 78
OV, 32/62/75, 230, 204, 178, 147, 116, 86
PV, 32/42/78, 227, 200, 173, 142, 111, 81
QV, 32/52/75, 227, 199, 171, 140, 109, 79
RV, 32/72/78, 232, 206, 180, 149, 118, 87
S1, 11/21, –, 99, 82, 67, 52, 37
S2, 11/41, –, 100, 85, 70, 55, 40
S3, 11/61, –, 99, 83, 68, 54, 40
S4, 12/22, –, 99, 88, 69, 50, 32
S5, 12/42, –, 99, 86, 68, 50, 33
S6, 12/62, –, 100, 88, 70, 52, 35
S7, 13/23, –, 100, 85, 69, 54, 39
S8, 13/43, –, 101, 88, 72, 57, 42
S9, 13/63, –, 105, 92, 76, 60, 45
