Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 12/32/42/52, 223, 197, 166, 130, 94, 59
CY, 12/32/52/62, 224, 199, 169, 134, 100, 66
DYJ, 32/52, 113, 102, 77, 55, 34, 13
EYJ, 32/42, 112, 100, 76, 55, 34, 13
GYJ, 32/62, 113, 102, 79, 58, 37, 17
HY, 32/52/95, 221, 193, 163, 128, 93, 58
IY, 32/42/98, 221, 193, 162, 126, 91, 56
KY, 32/62/98, 222, 195, 165, 131, 97, 63
OV, 32/52/75, 228, 206, 178, 145, 112, 79
PV, 32/42/78, 227, 204, 178, 145, 112, 79
RV, 32/62/78, 228, 206, 181, 149, 117, 86
S4, 12/22, –, 94, 79, 62, 45, 28
S5, 12/42, –, 94, 78, 60, 42, 24
S6, 12/52, –, 96, 80, 61, 43, 25
