Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 231, 207, 183, 152, 121, 90
AY, 12/32/42/62, 232, 204, 176, 145, 115, 84
AZ, 13/33/43/63, 234, 208, 182, 152, 122, 93
BX, 11/31/41/51, 228, 202, 176, 145, 115, 85
BY, 12/32/42/52, 229, 199, 170, 140, 109, 78
BZ, 13/33/43/53, 231, 203, 176, 147, 117, 88
CX, 11/31/61/71, 226, 203, 180, 149, 118, 87
CY, 12/32/62/72, 231, 201, 174, 144, 114, 83
CZ, 13/33/63/73, 228, 204, 179, 150, 120, 91
DX, 31/61/84, 230, 206, 182, 151, 121, 91
DY, 32/62/85, 231, 203, 175, 145, 115, 86
DZ, 33/63/86, 233, 207, 181, 151, 121, 92
EX, 31/41/87, 234, 209, 184, 153, 122, 92
EY, 32/42/88, 233, 205, 177, 146, 115, 85
EZ, 33/43/89, 234, 210, 184, 153, 123, 93
FX, 31/51/84, 228, 201, 175, 146, 116, 86
FY, 32/52/85, 228, 198, 169, 140, 110, 80
FZ, 33/53/86, 230, 202, 175, 146, 116, 87
GX, 31/71/87, 229, 205, 181, 150, 119, 89
GY, 32/72/88, 232, 202, 175, 145, 114, 84
GZ, 33/73/89, 230, 206, 181, 151, 121, 91
HX, 31/61/94, 224, 198, 172, 142, 112, 83
HY, 32/62/95, 221, 195, 169, 137, 105, 73
HZ, 33/63/96, 219, 194, 169, 139, 109, 80
IY, 32/42/98, 222, 197, 172, 141, 111, 81
IZ, 33/43/99, 229, 204, 179, 149, 119, 89
JX, 31/51/94, 222, 193, 165, 136, 107, 78
JY, 32/52/95, 218, 190, 163, 131, 99, 67
JZ, 33/53/96, 216, 189, 163, 134, 104, 75
KX, 31/71/97, 220, 199, 178, 149, 120, 92
KY, 32/72/98, 221, 194, 170, 140, 110, 80
KZ, 33/73/99, 223, 200, 176, 147, 117, 87
LY, 12/32/42/62, 232, 204, 176, 145, 115, 84
LZ, 13/33/43/63, 234, 208, 182, 152, 122, 93
MY, 12/32/42/52, 229, 199, 170, 140, 109, 78
MZ, 13/33/43/53, 231, 203, 176, 147, 117, 88
NX, 11/31/61/71, 226, 203, 180, 149, 118, 87
NY, 12/32/62/72, 231, 201, 174, 144, 114, 83
NZ, 13/33/63/73, 228, 204, 179, 150, 120, 91
S1, 11/21, –, 99, 85, 68, 51, 35
S2, 11/41, –, 105, 90, 74, 59, 44
S3, 11/61, –, 102, 89, 72, 55, 39
S4, 12/22, –, 100, 86, 69, 52, 35
S5, 12/42, –, 105, 90, 74, 59, 43
S6, 12/62, –, 103, 89, 73, 57, 40
S7, 13/23, –, 99, 85, 69, 53, 37
S8, 13/43, –, 105, 90, 75, 60, 46
S9, 13/63, –, 102, 88, 72, 56, 41
