Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AZ, 13/33/43/53, 207, 179, 151, 121, 91, 61
CX, 11/31/51/61, 209, 180, 151, 120, 89, 59
CY, 12/32/52/62, 202, 172, 142, 108, 74, 41
CZ, 13/33/53/63, 213, 186, 159, 129, 100, 71
CZ, 13/53, –, 92, 78, 62, 47, 32
DX, 31/51/84, 200, 171, 142, 111, 81, 51
DXJ, 31/51, 106, 87, 65, 47, 30, 13
DY, 32/52/85, 198, 169, 140, 107, 74, 41
DYJ, 32/52, 105, 86, 62, 45, 29, 13
DZ, 33/53/86, 209, 182, 155, 126, 97, 68
DZJ, 33/53, 108, 91, 70, 51, 33, 15
EX, 31/41/87, 203, 173, 143, 112, 82, 52
EXJ, 31/41, 105, 86, 63, 46, 29, 13
EY, 32/42/88, 198, 169, 140, 108, 77, 46
EYJ, 32/42, 99, 77, 55, 41, 27, 13
EZ, 33/43/89, 211, 182, 153, 122, 92, 62
GY, 32/62/88, 203, 175, 147, 116, 85, 54
GYJ, 32/62, 104, 83, 62, 45, 29, 13
GZ, 33/63/89, 217, 189, 161, 131, 101, 72
GZJ, 33/63, 109, 93, 72, 54, 36, 18
HY, 32/52/95, 207, 177, 147, 112, 77, 43
HZ, 33/53/96, 215, 188, 161, 131, 101, 72
IY, 32/42/98, 200, 170, 140, 107, 74, 42
IZ, 33/43/99, 212, 184, 156, 125, 94, 64
KY, 32/62/98, 205, 176, 147, 114, 82, 50
KZ, 33/63/99, 218, 191, 164, 134, 104, 74
LY, 12/32/42/52, 197, 166, 135, 101, 67, 33
LZ, 13/33/43/53, 207, 179, 151, 121, 91, 61
NV, 12/32/52/62, 202, 172, 142, 108, 74, 41
NY, 12/32/52/62, 202, 172, 142, 108, 74, 41
NZ, 13/33/53/63, 213, 186, 159, 129, 100, 71
OV, 32/52/75, 212, 181, 150, 114, 79, 44
PV, 32/42/78, 204, 174, 144, 111, 78, 45
RV, 32/62/78, 209, 180, 151, 118, 85, 53
S1, 11/21, –, 89, 73, 55, 38, 21
S2, 11/41, –, 85, 69, 53, 37, 21
S3, 11/51, –, 86, 71, 54, 38, 22
S4, 12/22, –, 90, 73, 53, 33, 14
S5, 12/42, –, 79, 63, 46, 29, 13
S6, 12/52, –, 88, 71, 51, 32, 13
S7, 13/23, –, 91, 76, 59, 42, 25
S8, 13/43, –, 87, 72, 56, 40, 25
S9, 13/53, –, 92, 78, 62, 47, 32
