Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 215, 190, 165, 136, 107, 78
AY, 12/32/42/62, 211, 187, 163, 130, 98, 66
AZ, 13/33/43/63, 215, 189, 163, 134, 106, 78
BX, 11/31/41/51, 216, 191, 166, 135, 105, 75
BY, 12/32/42/52, 208, 183, 158, 126, 94, 62
BZ, 13/33/43/53, 215, 191, 167, 138, 109, 80
CX, 11/31/61/71, 213, 189, 165, 136, 107, 78
CY, 12/32/62/72, 215, 192, 169, 136, 103, 70
CZ, 13/33/63/73, 216, 191, 166, 137, 109, 81
DX, 31/61/84, 225, 199, 173, 143, 114, 85
DY, 32/62/85, 227, 200, 173, 141, 109, 78
DZ, 33/63/86, 226, 199, 172, 143, 114, 85
EX, 31/41/87, 223, 198, 173, 141, 110, 79
EY, 32/42/88, 219, 193, 167, 136, 106, 76
EZ, 33/43/89, 224, 199, 174, 144, 114, 84
FX, 31/51/84, 226, 200, 174, 143, 112, 82
FY, 32/52/85, 224, 196, 168, 136, 105, 74
FZ, 33/53/86, 226, 201, 176, 146, 116, 87
GY, 32/72/88, 223, 198, 173, 142, 111, 80
GZ, 33/73/89, 225, 201, 177, 147, 117, 87
HX, 31/61/94, 218, 190, 162, 134, 106, 78
HY, 32/62/95, 216, 191, 166, 133, 100, 67
HZ, 33/63/96, 211, 185, 159, 130, 101, 72
IY, 32/42/98, 209, 186, 163, 133, 103, 73
IZ, 33/43/99, 219, 195, 171, 140, 110, 80
JY, 32/52/95, 213, 187, 161, 128, 95, 63
JZ, 33/53/96, 211, 187, 163, 133, 103, 74
KY, 32/72/98, 213, 191, 169, 138, 107, 77
KZ, 33/73/99, 220, 197, 174, 143, 113, 83
OV, 32/62/75, 222, 194, 166, 133, 101, 69
PV, 32/42/78, 218, 190, 162, 131, 100, 70
QV, 32/52/75, 219, 190, 161, 129, 97, 65
RV, 32/72/78, 222, 195, 168, 136, 105, 74
S1, 11/21, –, 88, 75, 60, 45, 30
S2, 11/41, –, 96, 82, 67, 52, 37
S3, 11/61, –, 94, 81, 66, 52, 38
S4, 12/22, –, 90, 79, 62, 45, 28
S5, 12/42, –, 92, 80, 63, 47, 31
S6, 12/62, –, 97, 85, 66, 48, 30
S7, 13/23, –, 87, 74, 60, 46, 32
S8, 13/43, –, 95, 81, 67, 53, 39
S9, 13/63, –, 92, 77, 63, 49, 35
