Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 228, 206, 179, 147, 115, 84
AY, 12/32/42/62, 229, 209, 183, 149, 115, 81
AZ, 13/33/43/63, 227, 203, 179, 150, 121, 93
BX, 11/31/41/51, 223, 197, 166, 135, 105, 75
BY, 12/32/42/52, 223, 197, 169, 137, 105, 73
BZ, 13/33/43/53, 221, 194, 167, 139, 111, 84
CX, 11/31/61/71, 228, 206, 181, 148, 116, 84
CY, 12/32/62/72, 227, 205, 180, 147, 114, 81
CZ, 13/33/63/73, 226, 202, 178, 150, 122, 95
DX, 31/61/84, 225, 201, 174, 143, 112, 81
DY, 32/62/85, 225, 201, 176, 144, 112, 81
DZ, 33/63/86, 224, 198, 170, 141, 113, 85
EX, 31/41/87, 227, 204, 177, 145, 113, 82
EY, 32/42/88, 230, 211, 186, 153, 120, 87
EZ, 33/43/89, 223, 197, 171, 142, 113, 85
FX, 31/51/84, 221, 192, 161, 131, 101, 72
FY, 32/52/85, 216, 189, 162, 132, 102, 73
FZ, 33/53/86, 219, 189, 158, 130, 103, 76
GX, 31/71/87, 227, 204, 179, 146, 114, 82
GY, 32/72/88, 228, 207, 183, 151, 119, 87
GZ, 33/73/89, 222, 196, 170, 142, 114, 87
HX, 31/61/94, 224, 199, 172, 141, 110, 80
HY, 32/62/95, 220, 198, 176, 142, 108, 75
HZ, 33/63/96, 220, 196, 172, 143, 114, 86
IX, 31/41/97, 225, 201, 170, 140, 110, 81
IY, 32/42/98, 228, 206, 183, 148, 114, 80
IZ, 33/43/99, 225, 201, 177, 148, 119, 91
JX, 31/51/94, 220, 190, 159, 129, 100, 71
JY, 32/52/95, 210, 186, 162, 130, 98, 67
JZ, 33/53/96, 214, 187, 160, 132, 104, 77
KX, 31/71/97, 225, 201, 172, 141, 111, 81
KY, 32/72/98, 224, 202, 180, 146, 113, 80
KZ, 33/73/99, 224, 200, 176, 148, 120, 93
S1, 11/21, –, 101, 86, 69, 52, 36
S2, 11/41, –, 107, 92, 76, 60, 44
S3, 11/61, –, 104, 92, 75, 59, 43
S4, 12/22, –, 103, 87, 69, 52, 35
S5, 12/42, –, 110, 93, 75, 57, 39
S6, 12/62, –, 103, 88, 70, 53, 36
S7, 13/23, –, 103, 90, 74, 59, 44
S8, 13/43, –, 108, 95, 79, 64, 49
S9, 13/63, –, 107, 94, 78, 62, 47
