Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 12/32/42/62, 232, 201, 170, 138, 106, 74
BY, 12/32/42/52, 225, 194, 163, 133, 103, 73
CY, 12/32/62/72, 234, 205, 176, 144, 112, 81
DY, 32/62/85, 236, 206, 176, 145, 115, 85
EY, 32/42/88, 234, 205, 176, 144, 112, 81
FY, 32/52/85, 229, 199, 169, 140, 112, 84
GY, 32/72/88, 236, 209, 182, 150, 119, 88
HY, 32/62/95, 226, 198, 170, 137, 104, 72
IY, 32/42/98, 223, 197, 171, 139, 108, 77
JY, 32/52/95, 219, 191, 163, 132, 101, 71
KY, 32/72/98, 225, 201, 177, 146, 115, 84
S4, 12/22, –, 98, 86, 69, 53, 37
S5, 12/42, –, 99, 83, 66, 50, 34
S6, 12/62, –, 100, 84, 67, 50, 34
