Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 12/32/42/62, 230, 210, 183, 154, 125, 96
BY, 12/32/42/52, 227, 203, 175, 146, 118, 90
CY, 12/32/62/72, 230, 210, 184, 155, 126, 97
DY, 32/62/85, 229, 207, 177, 146, 116, 86
EY, 32/42/88, 231, 212, 184, 152, 121, 90
FY, 32/52/85, 225, 200, 169, 139, 109, 80
GY, 32/72/88, 231, 212, 185, 153, 122, 91
HY, 32/62/95, 227, 204, 177, 144, 112, 80
IY, 32/42/98, 229, 207, 181, 148, 115, 83
JY, 32/52/95, 224, 197, 169, 137, 105, 74
KY, 32/72/98, 229, 207, 182, 149, 116, 84
OV, 32/62/75, 231, 212, 183, 153, 123, 93
PV, 32/42/78, 231, 211, 182, 151, 121, 91
QV, 32/52/75, 228, 205, 175, 145, 116, 87
RV, 32/72/78, 231, 211, 183, 152, 122, 92
S4, 12/22, –, 100, 90, 75, 61, 47
S5, 12/42, –, 105, 92, 77, 63, 49
S6, 12/62, –, 103, 90, 76, 62, 48
