Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 229, 204, 179, 149, 119, 89
AY, 12/32/42/62, 231, 204, 177, 146, 115, 85
AZ, 13/33/43/63, 233, 207, 181, 151, 122, 93
BX, 11/31/41/51, 219, 192, 165, 136, 108, 80
BY, 12/32/42/52, 219, 192, 165, 135, 106, 77
BZ, 13/33/43/53, 221, 196, 171, 143, 115, 87
CX, 11/31/61/71, 225, 202, 179, 148, 117, 87
CY, 12/32/62/72, 231, 204, 177, 145, 113, 82
CZ, 13/33/63/73, 232, 207, 182, 151, 121, 91
DX, 31/61/64, 221, 193, 165, 135, 106, 77
DY, 32/62/64, 223, 193, 163, 133, 103, 73
DZ, 33/63/64, 225, 196, 167, 138, 109, 81
EX, 31/41/66, 227, 201, 175, 145, 115, 85
EY, 32/42/66, 229, 201, 173, 142, 111, 81
EZ, 33/43/66, 231, 204, 177, 147, 118, 89
FY, 32/52/64, 211, 181, 151, 122, 93, 65
FZ, 33/53/64, 213, 185, 157, 129, 102, 75
GX, 31/66/71, 223, 199, 175, 144, 113, 83
GY, 32/66/72, 229, 201, 173, 141, 109, 78
GZ, 33/66/73, 230, 204, 178, 147, 117, 87
HX, 31/61/74, 214, 192, 170, 139, 108, 77
HY, 32/62/74, 216, 192, 168, 136, 104, 73
HZ, 33/63/74, 218, 195, 172, 141, 111, 81
IX, 31/41/76, 222, 200, 178, 147, 116, 85
IY, 32/42/76, 224, 200, 176, 144, 112, 81
IZ, 33/43/76, 226, 203, 180, 149, 119, 89
JY, 32/52/74, 204, 180, 156, 125, 95, 65
JZ, 33/53/74, 206, 184, 162, 133, 104, 75
KX, 31/71/76, 218, 198, 178, 146, 114, 83
KY, 32/72/76, 224, 200, 176, 143, 110, 78
KZ, 33/73/76, 225, 203, 181, 149, 118, 87
LX, 11/31/41/61, 229, 204, 179, 149, 119, 89
LY, 12/32/42/62, 231, 204, 177, 146, 115, 85
LZ, 13/33/43/63, 233, 207, 181, 151, 122, 93
MY, 12/32/42/52, 219, 192, 165, 135, 106, 77
MZ, 13/33/43/53, 221, 196, 171, 143, 115, 87
NX, 11/31/61/71, 225, 202, 179, 148, 117, 87
NY, 12/32/62/72, 231, 204, 177, 145, 113, 82
NZ, 13/33/63/73, 232, 207, 182, 151, 121, 91
S1, 11/21, –, 100, 87, 71, 55, 40
S2, 11/41, –, 104, 89, 74, 59, 45
S3, 11/61, –, 104, 90, 73, 57, 41
S4, 12/22, –, 102, 90, 73, 57, 41
S5, 12/42, –, 104, 89, 74, 59, 45
S6, 12/62, –, 104, 90, 73, 57, 41
S7, 13/23, –, 102, 90, 73, 57, 41
S8, 13/43, –, 104, 89, 74, 59, 45
S9, 13/63, –, 104, 90, 73, 57, 41
