Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 229, 202, 175, 146, 117, 89
AY, 12/32/42/62, 224, 201, 178, 146, 115, 84
AZ, 13/33/43/63, 222, 195, 168, 136, 104, 73
BX, 11/31/41/51, 222, 194, 166, 137, 108, 80
BY, 12/32/42/52, 218, 194, 170, 138, 106, 75
BZ, 13/33/43/53, 214, 188, 162, 131, 100, 70
CX, 11/31/61/71, 230, 207, 184, 154, 124, 95
CY, 12/32/62/72, 228, 205, 182, 150, 119, 88
CZ, 13/33/63/73, 225, 201, 177, 144, 112, 80
DY, 32/62/64, 234, 209, 184, 155, 126, 97
DZ, 33/63/64, 236, 208, 180, 148, 116, 85
EX, 31/41/66, 238, 208, 178, 147, 116, 86
EY, 32/42/66, 235, 209, 183, 151, 119, 88
EZ, 33/43/66, 229, 201, 173, 141, 109, 77
FX, 31/51/64, 228, 202, 176, 146, 117, 88
FY, 32/52/64, 228, 202, 176, 146, 117, 88
FZ, 33/53/64, 228, 201, 174, 143, 112, 82
GX, 31/66/71, 239, 213, 187, 155, 123, 92
GY, 32/66/72, 239, 213, 187, 155, 123, 92
GZ, 33/66/73, 232, 207, 182, 149, 116, 84
HY, 32/62/74, 219, 197, 175, 145, 115, 85
HZ, 33/63/74, 221, 196, 171, 138, 105, 73
IY, 32/42/76, 228, 205, 182, 149, 116, 84
IZ, 33/43/76, 222, 197, 172, 139, 106, 73
JY, 32/52/74, 213, 190, 167, 136, 106, 76
JZ, 33/53/74, 213, 189, 165, 133, 101, 70
KY, 32/72/76, 232, 209, 186, 153, 120, 88
KZ, 33/73/76, 225, 203, 181, 147, 113, 80
S1, 11/21, –, 91, 80, 65, 51, 37
S2, 11/41, –, 96, 79, 65, 51, 37
S3, 11/61, –, 98, 87, 72, 58, 44
S4, 12/22, –, 91, 80, 63, 47, 31
S5, 12/42, –, 96, 83, 66, 49, 32
S6, 12/62, –, 96, 85, 69, 53, 37
S7, 13/23, –, 91, 80, 66, 52, 38
S8, 13/43, –, 91, 77, 62, 47, 33
S9, 13/63, –, 98, 85, 69, 53, 37
