Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/31/41/61, 224, 198, 172, 142, 112, 82
AY, 12/32/42/62, 226, 202, 177, 146, 115, 84
AZ, 13/33/43/63, 228, 206, 182, 154, 127, 100
BX, 11/31/41/51, 222, 194, 165, 134, 104, 74
BY, 12/32/42/52, 223, 196, 169, 139, 109, 79
BZ, 13/33/43/53, 223, 197, 170, 142, 114, 87
CX, 11/31/61/71, 222, 198, 174, 144, 114, 84
CY, 12/32/62/72, 225, 201, 175, 143, 112, 81
CZ, 13/33/63/73, 228, 206, 182, 154, 126, 98
DX, 31/61/84, 226, 203, 175, 145, 115, 85
DY, 32/62/85, 228, 207, 179, 146, 113, 80
DZ, 33/63/86, 230, 210, 187, 158, 130, 102
EX, 31/41/87, 225, 200, 173, 142, 111, 80
EY, 32/42/88, 226, 202, 177, 145, 114, 83
EZ, 33/43/89, 228, 206, 181, 153, 125, 98
FX, 31/51/84, 224, 199, 168, 137, 107, 77
FY, 32/52/85, 225, 201, 171, 139, 107, 75
FZ, 33/53/86, 225, 201, 175, 146, 117, 89
GX, 31/71/87, 225, 200, 175, 144, 113, 82
GY, 32/72/88, 225, 201, 175, 143, 111, 80
GZ, 33/73/89, 228, 206, 181, 152, 124, 96
HX, 31/61/94, 224, 198, 171, 140, 109, 79
HY, 32/62/95, 217, 194, 171, 138, 105, 73
HZ, 33/63/96, 228, 206, 184, 155, 127, 99
IX, 31/41/97, 224, 199, 171, 139, 108, 77
IY, 32/42/98, 222, 201, 180, 147, 115, 83
IZ, 33/43/99, 228, 206, 183, 154, 125, 97
JY, 32/52/95, 213, 188, 163, 131, 99, 68
JZ, 33/53/96, 222, 197, 172, 143, 114, 86
KX, 31/71/97, 224, 199, 173, 141, 110, 79
KY, 32/72/98, 222, 200, 178, 145, 112, 80
KZ, 33/73/99, 228, 206, 183, 153, 124, 95
S1, 11/21, –, 104, 91, 75, 59, 43
S2, 11/41, –, 102, 89, 73, 57, 41
S3, 11/61, –, 102, 91, 75, 60, 45
S4, 12/22, –, 105, 90, 73, 56, 39
S5, 12/42, –, 105, 91, 75, 59, 43
S6, 12/62, –, 103, 88, 71, 54, 37
S7, 13/23, –, 105, 92, 75, 58, 42
S8, 13/43, –, 104, 90, 75, 61, 47
S9, 13/63, –, 107, 95, 79, 64, 49
